,Unnamed: 0,the_geom,objectid_1,tbbl,address,material,record_typ,city_owned,shape_leng,shape_area
514,3495,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98291426994062, 40.72102573497728], [-73.98297947422397, 40.720899410339314], [-73.98289431928855, 40.7208737809217], [-73.98292550927802, 40.72081335415086], [-73.98309467227465, 40.720864272316305], [-73.98299840023624, 40.72105078610115], [-73.98291426994062, 40.72102573497728]]]]}",3090,1003450011,319 EAST HOUSTON STREET,Potential Lead,HISTORICAL DATA,No,246.956970262,2429.78116509
540,3624,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98538732483017, 40.7217698296769], [-73.98549010535729, 40.721568835440884], [-73.98562559610507, 40.72161025876553], [-73.98552148819145, 40.721809998544714], [-73.98538732483017, 40.7217698296769]]]]}",3370,1003550049,245 EAST HOUSTON STREET,Potential Lead,HISTORICAL DATA,No,237.299937998,3154.39510931
581,3926,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98263518383222, 40.72131760241375], [-73.98255292450875, 40.721288377447074], [-73.9823897150101, 40.721230393100676], [-73.98231395558321, 40.72120347786342], [-73.98224283072788, 40.721178209422675], [-73.98264621464901, 40.72130053851985], [-73.9826354773366, 40.7213177069171], [-73.98263518383222, 40.72131760241375]]]]}",3672,1003840040,EAST HOUSTON STREET,Potential Lead,HISTORICAL DATA,No,247.417101303,416.000234778
648,4378,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99155326396527, 40.717816973404105], [-73.99166922624546, 40.717592069575154], [-73.99175776866997, 40.71761880128429], [-73.9916781290395, 40.71776986061064], [-73.99167902611816, 40.71777017225198], [-73.99164134746047, 40.71784347013518], [-73.99155326396527, 40.717816973404105]]]]}",4124,1004130025,298 GRAND STREET,Potential Lead,EXCAVATION,No,228.928200312,2305.67834903
649,4379,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99168467499872, 40.717856502751694], [-73.99164134746047, 40.71784347013518], [-73.99167902611816, 40.71777017225198], [-73.9916781290395, 40.71776986061064], [-73.99175776866997, 40.71761880128429], [-73.99192764629488, 40.71767008836068], [-73.99180959238049, 40.7178940278526], [-73.99168467499872, 40.717856502751694]]]]}",4125,1004130026,294 GRAND STREET,Potential Lead,EXCAVATION,No,276.960012168,4444.43646124
650,4380,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99180959238049, 40.7178940278526], [-73.99192764629488, 40.71767008836068], [-73.9920134420508, 40.71769599031057], [-73.99189768199685, 40.7179205279897], [-73.99180959238049, 40.7178940278526]]]]}",4126,1004130028,292 GRAND STREET,Potential Lead,EXCAVATION,No,227.626510174,2278.34339141
651,4390,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99116820832813, 40.718854874051075], [-73.99116850192407, 40.7188543067524], [-73.99120204520038, 40.71878970764322], [-73.99127361284768, 40.71881130371469], [-73.99134864229278, 40.71883394459311], [-73.99143243209791, 40.71885922817081], [-73.99150768533387, 40.71888193559993], [-73.99147405582734, 40.71894716424732], [-73.99116820832813, 40.718854874051075]]]]}",4136,1004140001,134 ELDRIDGE STREET,Potential Lead,HISTORICAL DATA,No,233.405499614,2327.47859385
652,4391,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99113346692285, 40.71892178916891], [-73.99113453476059, 40.718919736088736], [-73.99116820832813, 40.718854874051075], [-73.99147405582734, 40.71894716424732], [-73.99143952416205, 40.7190141434084], [-73.99113346692285, 40.71892178916891]]]]}",4137,1004140002,136 ELDRIDGE STREET,Potential Lead,HISTORICAL DATA,No,234.899493933,2391.54892731
660,4457,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99453879962051, 40.72463426694937], [-73.99464369447487, 40.724420557637195], [-73.99472844084494, 40.72444347860663], [-73.9946268857909, 40.724665978021086], [-73.99453879962051, 40.72463426694937]]]]}",4203,1005090023,51 EAST HOUSTON STREET,Potential Lead,HISTORICAL DATA,No,220.865214272,2188.08401475
673,4510,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98746814545804, 40.7202536483059], [-73.98752839729202, 40.72013608700263], [-73.98760994457592, 40.720160484311876], [-73.98769045989908, 40.72018457347855], [-73.98776193325966, 40.7202059564969], [-73.98783936209516, 40.72022912130818], [-73.98780922928631, 40.720288170846], [-73.98778008151558, 40.72034528618516], [-73.98746814545804, 40.7202536483059]]]]}",4256,1004117503,133 ESSEX STREET,Potential Lead,HISTORICAL DATA,No,276.68537596,4233.11337062
