,Unnamed: 0,the_geom,objectid_1,tbbl,address,material,record_typ,city_owned,shape_leng,shape_area
4671,32970,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93535973559293, 40.79924464560357], [-73.93553869114649, 40.799000215169116], [-73.93555896255822, 40.79900876954273], [-73.93559388971659, 40.799023505026874], [-73.93541493311801, 40.799267935545494], [-73.93535973559293, 40.79924464560357]]]]}",32747,1017960049,306 EAST 120 STREET,Potential Lead,HISTORICAL DATA,No,238.78048271,1781.4066322
4672,32971,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93541493311801, 40.799267935545494], [-73.93559388971659, 40.799023505026874], [-73.93561605633465, 40.799032857391495], [-73.93565994895604, 40.799051377259396], [-73.93548099252527, 40.799295807879425], [-73.93541493311801, 40.799267935545494]]]]}",32748,1017960050,304 EAST 120 STREET,Potential Lead,HISTORICAL DATA,No,245.659649186,2131.9327345
4675,32982,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93424676375382, 40.79821735381398], [-73.93429505089128, 40.79815142515012], [-73.93442230554206, 40.798205118770845], [-73.93437403270593, 40.79827105289854], [-73.93424676375382, 40.79821735381398]]]]}",32759,1017960124,355 EAST 119 STREET,Potential Lead,HISTORICAL DATA,No,135.584074201,1107.90263284
4676,32983,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.934008399672, 40.79867447600626], [-73.93409795882742, 40.79855215384844], [-73.9341516403946, 40.7985748041769], [-73.9340622139687, 40.7986971822829], [-73.934008399672, 40.79867447600626]]]]}",32760,1017960132,350 EAST 120 STREET,Potential Lead,HISTORICAL DATA,No,136.042373887,868.079234416
4680,33019,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93371390925839, 40.79740853583762], [-73.93389351344808, 40.797162361289075], [-73.93394564328206, 40.79718445792234], [-73.93385688737246, 40.79730611407849], [-73.93380923615918, 40.79737142609028], [-73.9337660404104, 40.797430632552], [-73.93371390925839, 40.79740853583762]]]]}",32796,1018060005,405 EAST 118 STREET,Potential Lead,HISTORICAL DATA,No,238.160498122,1694.90798095
4681,33025,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93314135838857, 40.79716584194078], [-73.93309159889793, 40.797144750376795], [-73.93327120467633, 40.79689857768814], [-73.93333876020587, 40.79692721305062], [-73.933159156969, 40.7971733867453], [-73.93314135838857, 40.79716584194078]]]]}",32802,1018060012,427 EAST 118 STREET,Potential Lead,HISTORICAL DATA,No,247.941599275,2196.45316334
4682,33026,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.933076474796, 40.797138339043], [-73.9330278583297, 40.79711773168338], [-73.93320746427091, 40.79687155909301], [-73.93327120467633, 40.79689857768814], [-73.93309159889793, 40.797144750376795], [-73.933076474796, 40.797138339043]]]]}",32803,1018060013,429 EAST 118 STREET,Potential Lead,HISTORICAL DATA,No,245.521991345,2072.38315016
4683,33029,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93278541486258, 40.797014962397554], [-73.93296502023819, 40.796768790180295], [-73.93301975520679, 40.79679199186147], [-73.93284014878613, 40.79703816416244], [-73.93278541486258, 40.797014962397554]]]]}",32806,1018060016,437 EAST 118 STREET,Potential Lead,HISTORICAL DATA,No,239.811617618,1779.58432412
4684,33032,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93259611046912, 40.79693471817269], [-73.93277571514415, 40.79668854534602], [-73.93283531087988, 40.796713807592184], [-73.93265570398803, 40.79695997960876], [-73.93259611046912, 40.79693471817269]]]]}",32809,1018060019,443 EAST 118 STREET,Potential Lead,HISTORICAL DATA,No,242.893470376,1937.60494711
4685,33033,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93249267411652, 40.79689087263496], [-73.93247365453898, 40.79688281102539], [-73.93265326189676, 40.79663663838895], [-73.9327113983245, 40.79666128210383], [-73.9325317911162, 40.79690745392939], [-73.93249267411652, 40.79689087263496]]]]}",32810,1018060020,447 EAST 118 STREET,Potential Lead,HISTORICAL DATA,No,241.969091914,1890.1917261
4688,33046,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93301679766358, 40.79743844907189], [-73.93319813098287, 40.79718990739625], [-73.93322892644844, 40.79720296177535], [-73.93327694134302, 40.79722331386013], [-73.93309583445624, 40.79747195124268], [-73.93301679766358, 40.79743844907189]]]]}",32823,1018060038,422 EAST 119 STREET,Potential Lead,HISTORICAL DATA,No,257.122354354,2590.70086495
4689,33047,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93309583445624, 40.79747195124268], [-73.93327694134302, 40.79722331386013], [-73.93336163201157, 40.79710704348879], [-73.93336943379663, 40.79713296888667], [-73.9333895477011, 40.797199797599156], [-73.93339235734236, 40.79720913470443], [-73.93335719443408, 40.797257331642896], [-73.93317586034087, 40.79750587266494], [-73.93309583445624, 40.79747195124268]]]]}",32824,1018060039,420 EAST 119 STREET,Potential Lead,HISTORICAL DATA,No,339.102484353,3502.31439091
4690,33061,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93284014878613, 40.79703816416244], [-73.93301975520679, 40.79679199186147], [-73.93308119765919, 40.7968180366869], [-73.93290159139546, 40.7970642090826], [-73.93284014878613, 40.79703816416244]]]]}",32838,1018060115,435 EAST 118 STREET,Potential Lead,HISTORICAL DATA,No,244.06506494,1997.67875804
4692,33071,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93297522636225, 40.797920713667466], [-73.93315698594645, 40.79767159150013], [-73.93323341024322, 40.79770393221652], [-73.9330516508574, 40.797953053602576], [-73.93297522636225, 40.797920713667466]]]]}",32848,1018070009,413 EAST 119 STREET,Potential Lead,HISTORICAL DATA,No,256.001711213,2513.51293883
4693,33096,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93142107843025, 40.796440549311825], [-73.93159844701472, 40.79619743956861], [-73.93167319534318, 40.79622901761036], [-73.93149583049944, 40.79647213017094], [-73.93142107843025, 40.796440549311825]]]]}",32873,1018150005,505 EAST 118 STREET,Potential Lead,HISTORICAL DATA,Yes,249.913922409,2398.22611831
4694,33101,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93109560282599, 40.79630304427045], [-73.93108423366728, 40.796298240510254], [-73.93126160428757, 40.79605513128064], [-73.93131526745069, 40.79607780364133], [-73.93113789696683, 40.79632091205209], [-73.93109560282599, 40.79630304427045]]]]}",32878,1018150010,515 EAST 118 STREET,Potential Lead,HISTORICAL DATA,No,236.553855707,1721.70850206
4695,33104,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93082332262827, 40.79618801070376], [-73.93100069509087, 40.79594490367313], [-73.93106184352408, 40.79597072878091], [-73.93088541874116, 40.796214237195265], [-73.93082332262827, 40.79618801070376]]]]}",32881,1018150013,521 EAST 118 STREET,Potential Lead,HISTORICAL DATA,No,241.594056633,1976.90568853
4696,33111,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93091294095893, 40.796553426104104], [-73.93109560282599, 40.79630304427045], [-73.93113789696683, 40.79632091205209], [-73.93115895225368, 40.79632980716075], [-73.93097628936572, 40.796580189993385], [-73.93091294095893, 40.796553426104104]]]]}",32888,1018150044,514 EAST 119 STREET,Potential Lead,HISTORICAL DATA,No,248.746167617,2093.20726019
4697,33112,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93097628936572, 40.796580189993385], [-73.93115895225368, 40.79632980716075], [-73.93119156148713, 40.796343584470065], [-73.93122031547094, 40.79635573226642], [-73.93103765274428, 40.79660611339433], [-73.93097628936572, 40.796580189993385]]]]}",32889,1018150045,512 EAST 119 STREET,Potential Lead,HISTORICAL DATA,No,247.487895307,2027.5896585
4699,33119,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93103765274428, 40.79660611339433], [-73.93122031547094, 40.79635573226642], [-73.93124267837167, 40.79636518014639], [-73.93128517157211, 40.796383132639434], [-73.93110251019836, 40.79663351477024], [-73.93103765274428, 40.79660611339433]]]]}",32896,1018150145,510 EAST 119 STREET,Potential Lead,HISTORICAL DATA,No,249.701071705,2143.03182184
40437,227844,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9147317943914, 40.658102787564104], [-73.91501673566181, 40.65806066152814], [-73.91531311967258, 40.658323809503386], [-73.91480945088733, 40.65839827324632], [-73.9147317943914, 40.658102787564104]]]]}",227499,3036070008,912 EAST 98 STREET,Potential Lead,HISTORICAL DATA,No,458.985145129,12235.09531
40460,228138,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91342511578749, 40.65700000890911], [-73.91330458912212, 40.656532512746], [-73.91377202040039, 40.656949089496685], [-73.91342511578749, 40.65700000890911]]]]}",227818,3036190001,501 EAST 98 STREET,Potential Lead,HISTORICAL DATA,No,471.233948217,8507.10796937
43373,250530,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91655166860568, 40.65911119837411], [-73.9168537401719, 40.658916376847344], [-73.91685689625557, 40.65891920585153], [-73.91691112380074, 40.65896778740476], [-73.91660909713873, 40.65916258119757], [-73.91655166860568, 40.65911119837411]]]]}",250142,3046720023,368 EAST 98 STREET,Potential Lead,HISTORICAL DATA,No,268.805239522,2699.67264068
43374,250532,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91637769920074, 40.65895553923897], [-73.91667990193302, 40.65876063271156], [-73.91673837669114, 40.65881302120756], [-73.91643621767953, 40.659007900003154], [-73.91637769920074, 40.65895553923897]]]]}",250144,3046720025,376 EAST 98 STREET,Potential Lead,HISTORICAL DATA,No,269.836267613,2752.21650176
43464,253354,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91878315536565, 40.658571131936874], [-73.91914554078998, 40.65833741580363], [-73.91920382917132, 40.65838974348259], [-73.91913156221004, 40.658436351187184], [-73.91906232348586, 40.65848100595449], [-73.91899356276606, 40.658525352139414], [-73.91892395699905, 40.658570244301096], [-73.91884144366695, 40.65862345979806], [-73.91878315536565, 40.658571131936874]]]]}",253000,3046700050,352 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,313.51255899,3293.89442198
